NUMEMP;TIPCOL;NUMCAD;DATALT;SEQALT;CODMOT;VALSAL;TIPSAL;PERREA
1;1;325;01/03/2016;1;3;2.568,42;1;0
1;1;325;01/11/2015;1;20;2.490,96;1;0
1;1;325;01/11/2016;1;11;2.696,84;1;0
1;1;325;19/05/2015;1;1;2.328,00;1;0
1;1;340;01/03/2016;1;3;3.706,80;1;0
1;1;340;01/03/2017;1;3;4.021,75;1;0
1;1;340;01/11/2016;1;3;3.892,14;1;0
1;1;340;03/11/2015;1;1;3.595,00;1;0
1;1;341;01/01/2021;1;3;4.397,66;1;0
1;1;341;01/01/2022;1;3;4.855,81;1;0
1;1;341;01/03/2016;1;3;3.294,36;1;0
1;1;341;01/03/2017;1;3;3.574,27;1;0
1;1;341;01/03/2020;1;27;4.272,06;1;0
1;1;341;01/09/2019;1;1;3.883,69;1;0
1;1;341;01/09/2021;1;3;4.621,06;1;0
